model,n_obs,pseudo_r2,aic,bic,momentum_coef,momentum_se,momentum_pvalue,momentum_or
Baseline: Lag only,1587,0.059070761143777184,2047.1100335592093,2057.849235000262,1.1777294988207043,0.10602352381245624,1.144553140815931e-28,3.246993524514342
A1: + Regime dummies,1587,0.16048699962168345,1838.897369478414,1881.8541752426254,0.07600349451838094,0.14187255848097755,0.5921543811935801,1.0789663446184197
A2: + Regime + Maps,1587,0.1655159282722759,1839.9776805583751,1915.152090645745,0.04810714352545797,0.14294289688159711,0.7364576748463265,1.0492830731896048
A3: + Regime + Maps + Phase,1587,0.1659506118414512,1843.0338196122696,1928.947431140692,0.06109200639042816,0.144734383422948,0.6729539283655206,1.0629967121786308
B1: + Equipment ($10k),1587,0.1525079872875954,1846.2227957532787,1862.3315979148579,-0.24965788716624263,0.1471148737955873,0.08969158916561434,0.7790672663953173
B2: + Equipment + Maps,1587,0.15711563576250542,1848.2178639885415,1896.544270473279,-0.2771063916953113,0.14819503669307335,0.06150099314322728,0.7579738506975527
B3: + Equipment + Maps + Phase,1587,0.15748549052417382,1851.4147706810757,1910.4803786068662,-0.28817347480320876,0.14899160047460247,0.05309355704326884,0.7496315387751998
B4: + First kill (endogenous),1587,0.25359481328210853,1646.7254096362315,1716.5302190030748,-0.21017914704472163,0.16141654884007198,0.19288504320219713,0.810439045204556
