model,coef,se_regular,se_clustered,p_regular,p_clustered,se_ratio,n_obs,n_clusters
Baseline,1.2374852251312234,0.05970011608772339,0.05263344782485008,1.9224810951602976e-95,3.119602762916884e-122,0.8816305775270261,5008,204
+ Equipment,-0.14650667302250936,0.08256688241669216,0.07965561864555724,0.07599701615022604,0.06587828247749522,0.9647405389918614,5008,204
+ Regime Dummies,0.19746560810413147,0.07928267355601469,0.07423760414284034,0.012750867642652267,0.007816071379702604,0.9363660534276771,5008,204
Regime + Equipment,0.026616000851873534,0.08481082559532006,0.07797900450778984,0.7536517748487674,0.7328606946394876,0.9194463555852096,5008,204
