variable,coefficient,std_error,z_value,p_value,odds_ratio
const,-0.33066389502546467,0.07619424416842646,-4.339749001178306,1.4264555177116813e-05,0.7184466019417486
ct_won_lag_1,1.0806086739785434,0.10288857284674224,10.502708357984176,8.393668601244636e-26,2.9464724464724434
