variable,coefficient,std_error,z_value,p_value,odds_ratio
const,-1.046907937733684,0.1772229038813203,-5.907294795455783,3.4777110735235776e-09,0.35102145299726123
ct_won_lag_1,-0.2782637271641827,0.154703737194297,-1.798687815890983,0.07206807733464622,0.7570971281045987
equip_adv_10k,0.9283325737999919,0.0821777580484939,11.296640305667303,1.3633455543063685e-29,2.5302865920142086
map_de_dust2,0.3387746238258219,0.2236212991855318,1.514947927857046,0.12978559156758787,1.4032270556266961
map_de_inferno,0.2802239962154676,0.18978314460834286,1.4765483878653625,0.1397967354241879,1.3234262216040105
map_de_mirage,-0.10292053553704554,0.22708549497524702,-0.45322373209378336,0.650387645144576,0.9021986633653423
map_de_nuke,0.2247574036828281,0.2227997173321039,1.008786754194154,0.3130769149115308,1.2520189441614833
map_de_overpass,0.3698746469864212,0.22399802459862905,1.651240664506668,0.09868944275914177,1.4475531481404393
map_de_vertigo,0.4467472346276043,0.22372741049436265,1.9968372835516333,0.045842861960037416,1.563219121681487
phase_pistol,0.4514112349331956,0.28683950975364847,1.5737414811540058,0.11554722773708315,1.5705270048801525
phase_conversion,-0.0004223838746292496,0.171751404721707,-0.002459274643567827,0.9980377847090469,0.9995777053168814
phase_overtime,0.3705425279689868,0.35865312693842843,1.0331501390551083,0.3015336424625876,1.4485202642826254
ct_first_kill,1.7164257190012842,0.11980732248688711,14.32655102687189,1.4935593407253853e-46,5.564603420364999
first_kill_missing,-19.965951214239375,54599.656363292335,-0.00036567906364448475,0.9997082303274119,2.132541845015067e-09
