model,n_obs,pseudo_r2,momentum_coef,momentum_se,momentum_se_clu,momentum_p,momentum_p_clu,momentum_or,rank_coef,rank_p
1. Baseline,5008,0.06531260643707038,1.2374852251312234,0.05970011608772339,0.05263344782485008,1.9224810951602976e-95,3.119602762916884e-122,3.4469342925213917,,
2. + Rank,5008,0.06564442280695326,1.2355512610895576,0.059720298473359426,0.0524002708064843,4.354454981351019e-95,6.315640812111886e-123,3.440274487533116,-0.0328709090140277,0.13097240797992016
3. + Equipment,5008,0.15212625442519667,-0.14650667302250936,0.08256688241669216,0.07965561864555724,0.07599701615022604,0.06587828247749522,0.863719968692739,,
4. + Equipment + Rank,5008,0.15234075811758252,-0.14759776232995714,0.08259308759854131,0.07940622655898032,0.07392982810171363,0.06306001332121275,0.8627780870022306,-0.028194750109152622,0.22460829317308972
5. + Regime + Rank,5008,0.16057537054670912,0.19603244493609248,0.07931103354383377,0.0739499304923535,0.013447532873695664,0.008028218869184436,1.2165663761123247,-0.03919655212141089,0.09294859335979695
6. + Equip + Regime + Rank,5008,0.16538174193715727,0.02631290485744641,0.08483840987391286,0.07776443192307717,0.7564444528188167,0.7350867620641601,1.0266621457910954,-0.03592079282709588,0.12525435705473834
