model,n_obs,pseudo_r2,aic,momentum_coef,momentum_se,momentum_pvalue,momentum_or,tournament
Baseline,1587,0.059070761143777184,2047.1100335592093,1.1777294988207043,0.10602352381245624,1.144553140815931e-28,3.246993524514342,Stockholm
A1: +Regime,1587,0.16048699962168345,1838.897369478414,0.07600349451838094,0.14187255848097755,0.5921543811935801,1.0789663446184197,Stockholm
A2: +Regime+Maps+Phase,1587,0.1659506118414512,1843.0338196122696,0.06109200639042816,0.144734383422948,0.6729539283655206,1.0629967121786308,Stockholm
B1: +Equipment,1587,0.1525079872875954,1846.2227957532787,-0.24965788716624263,0.1471148737955873,0.08969158916561434,0.7790672663953173,Stockholm
B2: +Equip+Maps+Phase,1587,0.15748549052417382,1851.4147706810757,-0.28817347480320876,0.14899160047460247,0.05309355704326884,0.7496315387751998,Stockholm
Baseline,1771,0.06465571113492219,2270.6347665654685,1.2337177075223438,0.10070027667696443,1.6515418094560057e-34,3.4339723394030064,Antwerp
A1: +Regime,1771,0.15196108041584078,2071.0662696218665,0.2862231961185089,0.1337227393840719,0.03232061606914166,1.3313895830793359,Antwerp
A2: +Regime+Maps+Phase,1771,0.15560246402114686,2078.2420465240775,0.27032205039736806,0.13506211962579356,0.045342345679982826,1.310386393244874,Antwerp
B1: +Equipment,1771,0.14368019595511738,2081.1334693044155,-0.10060126778986725,0.1396456558707056,0.47127638172643693,0.9042935319684005,Antwerp
B2: +Equip+Maps+Phase,1771,0.14646969810824095,2090.3736241469164,-0.1215150813113837,0.14024475851735407,0.38624339433235033,0.8855776975751447,Antwerp
