model,n_obs,pseudo_r2,aic,momentum_coef,momentum_se,momentum_pvalue,momentum_or
1. Baseline,3358,0.061984157324546985,4313.8928675884845,1.2072097305433378,0.07301294767379299,2.0816776788060388e-61,3.3441405690674437
2. + Tournament FE,3358,0.06198447873551172,4315.891390804446,1.2072184074733079,0.07301336022696427,2.0807999010943102e-61,3.3441695860668608
3. + Equipment (PRIMARY),3358,0.14769652370789,3924.0710367268125,-0.171493000240857,0.10125738533749239,0.09033475978960072,0.8424061646396398
4. + Equipment + Maps + Phase,3358,0.14870273815721957,3935.447792341024,-0.18091078044939432,0.10164472445958132,0.07510306077210539,0.8345098099647069
5. + Regime Dummies,3358,0.15458501750483133,3902.420536881111,0.18624831694860056,0.09710686175211136,0.05511446354286556,1.2047213759743525
6. Regime + Equipment,3358,0.16011936804352023,3878.9919067575547,0.0014846957219802432,0.10410300395878022,0.9886211195450865,1.0014857984283339
