variable,coefficient,std_error,z_value,p_value,odds_ratio
const,0.12873021428850376,0.26617990105208894,0.4836210915237828,0.6286548033936545,1.137383233025405
ct_won_lag_1,-0.03148449768723072,0.13687891816989334,-0.23001714294784487,0.8180784486917019,0.9690059781710526
regime_building,1.6207452997773044,0.308772728216663,5.248991091726347,1.5293447003164703e-07,5.056857787424705
regime_full_buy,2.4551576145448313,0.26627988439617983,9.2202143624637,2.9650685504283146e-20,11.648269340872142
regime_flush,2.7568568302436365,0.279995480364849,9.846076181841598,7.127232103462694e-23,15.7502593254438
t_regime_building,-1.2486052316958163,0.347556238006379,-3.59252718022831,0.000327486483376418,0.28690468347961073
t_regime_full_buy,-2.599937621606637,0.2938273491647532,-8.848521517814241,8.868633559256527e-19,0.07427821142531683
t_regime_flush,-2.6612351757051615,0.28571106433551013,-9.3144281335219,1.2261124946720076e-20,0.06986187673714264
map_de_dust2,0.2939891310948029,0.2066850542136739,1.4224014997759482,0.15490972800477254,1.3417693200241816
map_de_inferno,0.23824019888664227,0.1754753667936729,1.3576845755607931,0.17456379319441162,1.2690139719628397
map_de_mirage,-0.2146735800800479,0.20824652569909632,-1.030862720803507,0.30260520061491947,0.8068047543428241
map_de_nuke,0.25654735922322996,0.2043594940513797,1.2553728438901364,0.20934344272136562,1.2924599742507124
map_de_overpass,0.28395523106790005,0.20603052255343124,1.3782192441620396,0.1681356074067344,1.3283734595603593
map_de_vertigo,0.4559364347404645,0.20692338626027743,2.2034069854577356,0.027566076289834825,1.5776500578437465
