variable,coefficient,std_error,z_value,p_value,odds_ratio
const,0.061853883166737116,0.13176586951305852,0.46942264635992975,0.6387675641968964,1.0638068932768245
ct_won_lag_1,0.020493940328639267,0.08030704209656428,0.2551948097403035,0.798572639618477,1.020705383085276
equip_adv_10k,0.6767751039941716,0.119890902064276,5.644924613473494,1.6525364358245105e-08,1.9675224349101552
rank_diff_5,-0.021982852062815306,0.022681541302201888,-0.9691956895663544,0.3324475613192772,0.9782570099971397
regime_building,0.8658879318401465,0.19782510758310098,4.377037588499277,1.2030323362432881e-05,2.3771158660332197
regime_full_buy,1.1806721561636284,0.27726551613562095,4.25827262120154,2.0601261836029056e-05,3.256562385886857
regime_flush,0.9003804640925389,0.33481909708439517,2.689155045017003,0.0071633139746641915,2.4605390798625937
t_regime_building,-0.6862929626324753,0.20414335431325256,-3.361818781420516,0.0007743092202507824,0.5034388809200662
t_regime_full_buy,-1.2951825962566665,0.24034996518777638,-5.388736358854012,7.095480251158897e-08,0.27384785617249996
t_regime_flush,-1.0031006571504864,0.2890659634206157,-3.4701444794138188,0.0005201784738402763,0.3667405397355544
