model,n_obs,pseudo_r2,momentum_coef,momentum_se,momentum_pvalue,momentum_or
Full: Baseline,5008,0.06531260643707038,1.2374852251312234,0.05970011608772339,1.9224810951602976e-95,3.4469342925213917
Full: + Equipment,5008,0.15212625442519667,-0.14650667302250936,0.08256688241669216,0.07599701615022604,0.863719968692739
Full: + Regime,5008,0.16016459539372807,0.19746560810413147,0.07928267355601469,0.012750867642652267,1.218311164218425
Full: Regime + Equip,5008,0.16503975478058064,0.026616000851873534,0.08481082559532006,0.7536517748487674,1.0269733701381585
