variable,coefficient,std_error,z_value,p_value,odds_ratio
const,-0.04660236685334576,0.1481587232930775,-0.3145435234424917,0.7531082656418345,0.9544668498008467
ct_won_lag_1,-0.3421852920773846,0.142798600190581,-2.3962790364940507,0.016562476298140998,0.7102165950081543
equip_adv_10k,0.9932871010496019,0.0762230253023915,13.031326126312091,8.118426367592896e-39,2.700095387391075
map_de_dust2,0.29663579741361223,0.2069710559229598,1.433223578489294,0.15179395347975858,1.3453252392812454
map_de_inferno,0.2477182636017043,0.17480146061765367,1.417140696229895,0.15644179624539437,1.2810989491415847
map_de_mirage,-0.20941112476037227,0.2080030360943101,-1.006769558235793,0.3140455267290786,0.8110617195346531
map_de_nuke,0.21529753888904862,0.2044244726141658,1.0531886722555222,0.2922545291096824,1.2402308589850115
map_de_overpass,0.31820745578950577,0.20604266499004173,1.5443765290304563,0.12249714263337158,1.3746614131170947
map_de_vertigo,0.4287006588986393,0.20607375800612115,2.0803263018375455,0.0374956139177503,1.53526139876888
phase_pistol,0.3784526590534189,0.26341831772167007,1.4366983371797821,0.15080372765897257,1.4600236862585683
phase_conversion,0.06776682785881638,0.15795964488189126,0.42901354905860056,0.667913364530498,1.0701157582031644
phase_overtime,0.4304398997192539,0.3324323011020057,1.2948197220677868,0.19538242684546903,1.5379339114618304
