variable,coefficient,std_error,z_value,p_value,odds_ratio
const,-0.05236303381666322,0.15160322652765235,-0.34539524663158955,0.7297972501973002,0.9489842909112333
ct_won_lag_1,-0.28817347480320876,0.14899160047460247,-1.9341592001512302,0.05309355704326884,0.7496315387751998
equip_adv_10k,0.9765141899986319,0.07736954939574499,12.621427908333356,1.6087748448748137e-36,2.6551846226528792
map_de_dust2,0.27297184667552227,0.2124068785244722,1.2851365670065724,0.1987445653096237,1.3138632546855153
map_de_inferno,0.23155712117477315,0.17975601171341918,1.288174559323998,0.19768520578266613,1.2605613292651539
map_de_mirage,-0.23110078008806897,0.2147086177574453,-1.0763460847628472,0.2817725052786736,0.793659476932674
map_de_nuke,0.25885359336844493,0.21152041531795163,1.2237759318850778,0.22103676609952605,1.2954441293321686
map_de_overpass,0.24235086811296708,0.2110252872656708,1.148444678138781,0.2507850386089031,1.2742412049975111
map_de_vertigo,0.38362816930059235,0.21227134385371346,1.807253689244881,0.07072273318276265,1.4675996416144754
phase_conversion,0.06229502287826786,0.15795686609204274,0.3943799621978322,0.6933005353597893,1.0642762842687403
phase_overtime,0.33515096591124216,0.40928625280030045,0.8188669021208721,0.4128623554010591,1.3981514424974104
